date,Control,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Tout-sup,Tout-ret,Fhw,Thwinc,Thwout,Fhp,Thp-sup,Thp-ret,Tindoor_zones,R0,R1,R2,R3,R4,R5,R6,Qhp,Php,Pbld
Mon Feb 06 2017 02:30:00 GMT+0100 (CET),06/02/2017 02:30:00,21.0824760373,2.32085,20.56608,0.3623333333,8401000,23.1333333333,22.0333333333,5.8666666667,4.4,0,24.0333333333,24,0.2756666667,21.8666666667,21.8666666667,20.2127791882,20.4349461057,20.6019387467,20.5535464776,20.7606073455,19.9561696464,20.7653188331,20.4633358863,6424000,62,477.00
Mon Feb 06 2017 02:45:00 GMT+0100 (CET),06/02/2017 02:45:00,24.3664487401,2.337475,20.57274,0.3606666667,8401000,23.2666666667,21.9666666667,6.0333333333,3.8666666667,0,24.1333333333,24.0666666667,0.2743333333,22.0333333333,21.8,20.2996687701,20.3669754669,20.5416881353,20.5496762871,20.7486058707,19.944597247,20.5667318037,20.5519863631,6424000,292,564.33
Mon Feb 06 2017 03:00:00 GMT+0100 (CET),06/02/2017 03:00:00,1070.6648217081,2.357425,20.57607,0.361,8401666.66666666,27.5,21.9333333333,5.0666666667,1.7,0,24.2,24.1666666667,0.64,28.8666666667,21.7666666667,20.3429033621,20.4537395677,20.6140543545,20.5635575012,20.8370047599,19.9452427292,20.7009216459,20.3962066977,6424666.66666667,5271.3333333333,2323.00
Mon Feb 06 2017 03:15:00 GMT+0100 (CET),06/02/2017 03:15:00,1135.6810333969,2.337475,20.59605,0.3613333333,8402333.33333333,30,22.5333333333,3.2666666667,0.1,0,24.4,24.2333333333,0.6333333333,30.6333333333,24.1,20.3542030379,20.5880956311,20.609723058,20.5608762705,20.8613524862,19.9471871161,20.7668686233,20.4163641128,6426000,4808,3101.00
Mon Feb 06 2017 03:30:00 GMT+0100 (CET),06/02/2017 03:30:00,23.3396277916,2.17455,20.6127,0.3633333333,8403000,28.6333333333,23.2666666667,3.6666666667,1.6,0,24.7,24.3333333333,0.2743333333,23.8,23.5333333333,20.3479011415,20.5818927028,20.545053859,20.5616111408,20.9505391974,19.9531286053,20.8587546274,20.6125695073,6427000,351,2267.00
Mon Feb 06 2017 03:45:00 GMT+0100 (CET),06/02/2017 03:45:00,34.6370224694,1.978375,20.61936,0.363,8403666.66666666,26.7666666667,23.3333333333,4.5,2.3333333333,0,24.7,24.4333333333,0.275,28.7,23.6,20.3531525511,20.5204110777,20.6006450086,20.5912190323,20.9763324686,20.1391865838,20.8542373374,20.6129246406,6427000,5386,1420.00
Mon Feb 06 2017 04:00:00 GMT+0100 (CET),06/02/2017 04:00:00,538.3921848596,1.88195,20.63934,0.363,8404000,24.7666666667,22.9,5.0333333333,2.5666666667,0,24.7,24.4333333333,0.2755,23.2666666667,23.2333333333,20.3472736516,20.4936797388,20.5486736304,20.6651194898,20.9419517575,20.1381975441,20.922088821,20.8584961562,6427000,36,793.00
Mon Feb 06 2017 04:15:00 GMT+0100 (CET),06/02/2017 04:15:00,735.7921083196,1.891925,20.646,0.362,8404000,26.8,22.6666666667,5,2.5666666667,0,24.7,24.4666666667,0.5136666667,27.5333333333,22.8333333333,20.36034475,20.5555000884,20.6065860809,20.6669789664,20.9755549276,20.1747164663,21.0336169297,20.7855208827,6427333.33333333,5183,1726.00
Mon Feb 06 2017 04:30:00 GMT+0100 (CET),06/02/2017 04:30:00,20.1899441353,1.865325,20.66265,0.3633333333,8404666.66666666,26.5333333333,22.8,4.8666666667,2.9,0,24.7666666667,24.5333333333,0.274,22.7,22.7666666667,20.3436604515,20.5576559607,20.6037361137,20.5792520843,20.9721470545,20.2403351393,20.9806074154,20.8434314759,6428000,34,1583.00
Mon Feb 06 2017 04:45:00 GMT+0100 (CET),06/02/2017 04:45:00,427.8156322295,1.825425,20.68263,0.3633333333,8405000,28.3333333333,22.9666666667,4.5666666667,1.5,0,24.7333333333,24.5666666667,0.453,27.6666666667,23.0333333333,20.3589249156,20.5558059295,20.5452040886,20.5702130558,20.987983541,20.2459501228,21.0315479477,20.7906054965,6428000,5086,2254.67
Mon Feb 06 2017 05:00:00 GMT+0100 (CET),06/02/2017 05:00:00,406.3196078863,1.758925,20.68263,0.3636666667,8405333.33333333,25.5333333333,23.1,5.2333333333,3.7,0,24.8,24.6,0.2716666667,23.1333333333,23.2,20.348221492,20.5659224327,20.625302216,20.6207581506,20.9876605673,20.1563925269,20.9723856947,20.8502029765,6428000,92,1035.67
Mon Feb 06 2017 05:15:00 GMT+0100 (CET),06/02/2017 05:15:00,26.9747909792,1.4098,20.68596,0.363,8406000,25.0666666667,22.8,5.5666666667,3.3333333333,0,24.8,24.6,0.2743333333,23.9333333333,23.0666666667,20.3630235377,20.5676108893,20.6278856068,20.5619778932,20.9672421956,20.3217324218,20.9740668019,20.9912212902,6428333.33333333,1035,936.67
Mon Feb 06 2017 05:30:00 GMT+0100 (CET),06/02/2017 05:30:00,374.0762553187,1.3566,20.70594,0.363,8406000,24.0333333333,22.5333333333,5.7666666667,3.2333333333,0,24.8333333333,24.6,0.3943333333,25,22.6666666667,20.3470539544,20.5828494224,20.6169334268,20.740066833,20.957091522,20.2784140548,21.0486992888,20.8695726854,6429000,5052,614.00
Mon Feb 06 2017 05:45:00 GMT+0100 (CET),06/02/2017 05:45:00,1089.0618749739,1.260175,20.71926,0.362,8406000,29.1333333333,22.5,4.3333333333,1,0,24.8,24.6,0.6366666667,29.6,22.6333333333,20.361181301,20.6686527586,20.7469875301,20.743492893,20.9860937829,20.277847243,20.9757439113,20.8431448618,6429666.66666667,5145.3333333333,2795.00
Mon Feb 06 2017 06:00:00 GMT+0100 (CET),06/02/2017 06:00:00,22.7776671697,1.226925,20.72592,0.364,8407000,28.0666666667,23.1666666667,4.2,1.9,0,24.9666666667,24.6,0.274,24,23.2666666667,20.3436638866,20.6639373428,20.6727808713,20.7394310633,20.8917279287,20.3267321403,21.0120221511,20.8548603763,6430000,839,2081.67
Mon Feb 06 2017 06:15:00 GMT+0100 (CET),06/02/2017 06:15:00,34.7820396268,1.1305,20.74257,0.3646666667,8407000,25.7333333333,23.3333333333,4.8666666667,2.4,0,24.9333333333,24.6,0.2753333333,26.3,23.5666666667,20.4800759448,20.5891114631,20.8089987402,20.7427541302,20.6422027603,20.338011363,21.0293840293,21.0105650676,6430000,1746,1015.00
Mon Feb 06 2017 06:30:00 GMT+0100 (CET),06/02/2017 06:30:00,513.045146438,1.13715,20.74923,0.3626666667,8407666.66666666,24.7666666667,23.0666666667,5.3,3.3333333333,0,24.9,24.6,0.2755,23.3333333333,23.2333333333,20.5567109153,20.5551008172,20.752945485,20.7399225327,20.394395678,20.3394733172,21.094608287,20.9151653428,6430000,134,712.00
Mon Feb 06 2017 06:45:00 GMT+0100 (CET),06/02/2017 06:45:00,501.8819837715,1.0507,20.76921,0.3643333333,8408000,24.1,22.6333333333,5.6333333333,3.4333333333,0,24.9,24.6333333333,0.2735,22.8666666667,22.8666666667,20.5444059888,20.5526303165,20.8155254476,20.740770634,20.1703829391,20.3396517129,21.0720948903,20.9745825585,6430333.33333333,136,630.67
Mon Feb 06 2017 07:00:00 GMT+0100 (CET),06/02/2017 07:00:00,374.4525127314,1.040725,20.7792,0.364,8408000,24.6,22.5333333333,5.7666666667,4.3333333333,0.145,8.0666666667,34.8333333333,0.3923333333,24.8333333333,22.5333333333,20.5477153883,20.5616484737,20.820277295,20.87598642,20.0380390106,20.170922457,20.9752212577,20.870699975,6431000,2600.5,860.67
Mon Feb 06 2017 07:15:00 GMT+0100 (CET),06/02/2017 07:15:00,739.036127703,0.914375,20.78253,0.362,8408333.33333333,29.2333333333,22.5666666667,4.1333333333,0.8666666667,0.006,9.4333333333,33.2666666667,0.5153333333,29.3,22.6666666667,20.7302826342,20.5737431032,20.8145662723,21.009803779,19.9764793218,20.1859285456,20.975768874,20.7902861076,6431666.66666667,4124.3333333333,2809.00
Mon Feb 06 2017 07:30:00 GMT+0100 (CET),06/02/2017 07:30:00,495.0630652663,0.781375,20.78586,0.362,8409000,26.6666666667,23.1666666667,4.4,2.2666666667,0.0243333333,10.1,33.2333333333,0.2735,23,23.2,20.6722850367,20.556819633,20.8124288678,21.0576445598,19.8026432526,20.2577984183,21.0427548556,20.852714658,6432000,0,1480.67
Mon Feb 06 2017 07:45:00 GMT+0100 (CET),06/02/2017 07:45:00,477.7955350053,0.788025,20.79585,0.364,8409000,25.5,23.2,4.5666666667,2.2,0.0276666667,10.5,33.1666666667,0.2745,23.3333333333,23.3333333333,20.7456098067,20.684119381,20.8213425892,20.9979580859,19.8101645518,20.2039528273,21.1064064179,20.9843614225,6432000,119,981.67
Mon Feb 06 2017 08:00:00 GMT+0100 (CET),06/02/2017 08:00:00,455.9715127113,0.84455,20.80584,0.3633333333,8409000,24.2666666667,22.8,4.7333333333,2.7666666667,0.378,9.7,33,0.2755,23.1666666667,23.0333333333,20.6708857997,20.6915972481,20.8816302527,20.9647995056,19.7120657821,20.1513941059,21.0602489949,21.0370030202,6432000,250,638.00
Mon Feb 06 2017 08:15:00 GMT+0100 (CET),06/02/2017 08:15:00,768.0727322745,0.734825,20.85579,0.3636666667,8409666.66666666,24.1,22.5666666667,4.7666666667,2.0666666667,0.0323333333,9.3333333333,29.9,0.454,25.4,22.7,20.5472276647,20.7019501459,20.9754957298,20.951186984,19.6011670116,20.1348385893,20.9731912104,20.849693187,6432000,6252,660.33
Mon Feb 06 2017 08:30:00 GMT+0100 (CET),06/02/2017 08:30:00,1087.5879057937,0.734825,20.82915,0.3613333333,8410000,28.9666666667,22.5333333333,3.0666666667,-0.1333333333,0.0263333333,10.1333333333,30.1666666667,0.6303333333,29.4333333333,22.5666666667,20.5445987143,20.7306832697,20.9474427614,20.9520327643,19.5987044312,20.1375854529,20.8504027815,20.7169292583,6433333.33333333,5005.3333333333,2695.67
Mon Feb 06 2017 08:45:00 GMT+0100 (CET),06/02/2017 08:45:00,1185.4634569794,0.608475,20.81916,0.3623333333,8410666.66666666,30.3333333333,23.3,2,-1.1333333333,0.031,10.8,30.2666666667,0.622,31.4333333333,24.8666666667,20.3440536807,20.6263460534,20.9863884958,20.9540088183,19.5172417108,20.1370458194,20.7281579721,20.6095345619,6434000,4675,2972.33
Mon Feb 06 2017 09:00:00 GMT+0100 (CET),06/02/2017 09:00:00,19.8774707586,0.681625,20.85246,0.365,8411000,25.9666666667,23.8,2.8333333333,0.8666666667,0.033,10.7,30.8333333333,0.275,23.0666666667,23.6666666667,20.5284959828,20.588595842,21.0220447886,20.9538384929,19.3804278489,20.1398784914,20.5250535365,20.6090203288,6434000,0,931.33
Mon Feb 06 2017 09:15:00 GMT+0100 (CET),06/02/2017 09:15:00,445.2288703062,0.561925,20.86245,0.3636666667,8411000,23.7666666667,23.3,3.3,0.3666666667,0.0023333333,13.2333333333,29.9333333333,0.276,23.4333333333,23.5,20.5564699684,20.6255977106,20.9703668545,20.9512131834,19.3854778949,20.1371816618,20.3883508052,20.5727518469,6434000,0,209.33
Mon Feb 06 2017 09:30:00 GMT+0100 (CET),06/02/2017 09:30:00,941.6960695183,0.541975,20.85246,0.364,8411000,23.4333333333,22.5,3.7,1.3,0.027,11.7333333333,32.1666666667,0.276,22.8666666667,22.9333333333,20.5328223397,20.5851634182,21.0202255336,21.0127479449,19.3787515389,20.0806504667,20.4384742442,20.4613947606,6434000,0,373.33
Mon Feb 06 2017 09:45:00 GMT+0100 (CET),06/02/2017 09:45:00,20.5387408977,0.53865,20.86245,0.365,8411666.66666666,23.4666666667,22.4,4.4,3.0333333333,0.0023333333,14.0666666667,31.0666666667,0.2743333333,22.3666666667,22.4,20.5507012331,20.5737390734,20.9374878469,20.9595896922,19.2486469218,19.9935641337,20.371669058,20.4653387734,6434000,54,448.67
Mon Feb 06 2017 10:00:00 GMT+0100 (CET),06/02/2017 10:00:00,25.789014449,0.495425,20.86911,0.365,8412000,24.4,22.2,4.7666666667,2.6,0.001,16,30.0333333333,0.275,23.7666666667,22.0666666667,20.5542733819,20.635453426,21.0200700789,21.0265927767,19.1747654054,20.0629853964,20.4706798804,20.3998358017,6434000,1964,922.67
Mon Feb 06 2017 10:15:00 GMT+0100 (CET),06/02/2017 10:15:00,299.9596970755,0.4788,20.88243,0.3613333333,8412000,22.8333333333,22.2,4.9666666667,2.5,0.001,17.5,29.2,0.2765,21.8333333333,21.9,20.5398566238,20.6412805056,21.0236898289,21.0402475678,19.1783464201,20.0047143856,20.3730841798,20.4504271794,6434666.66666667,1,265.67
Mon Feb 06 2017 10:30:00 GMT+0100 (CET),06/02/2017 10:30:00,723.2903031672,0.4921,20.88909,0.3616666667,8412000,26,22,4.8333333333,2.4333333333,0.128,8.1333333333,34.1666666667,0.5163333333,26.4333333333,21.8333333333,20.5361809567,20.7462509016,20.9632188644,21.0410478526,19.1796743641,19.8942308676,20.39653537,20.4007651549,6435000,5184.5,1651.67
Mon Feb 06 2017 10:45:00 GMT+0100 (CET),06/02/2017 10:45:00,765.5847621414,0.615125,20.89575,0.362,8412666.66666666,29.3333333333,22.4333333333,2.8666666667,-0.2666666667,0.0053333333,10.1333333333,32.2333333333,0.5136666667,30,23.4,20.5567509508,20.6698219856,20.988301047,20.969394845,19.1799074539,19.8065957481,20.3770961747,20.1988339088,6436000,3928,2911.00
Mon Feb 06 2017 11:00:00 GMT+0100 (CET),06/02/2017 11:00:00,395.1871902508,0.63175,20.90574,0.3646666667,8413000,26.9333333333,22.9333333333,3.3333333333,2.0666666667,0.0016666667,13.1,31.0333333333,0.273,22.8,22.9666666667,20.5426612272,20.8302475975,20.997834313,20.955448999,19.2543370179,19.9270642868,20.1888815604,20.2486494439,6436000,0,1706.00
Mon Feb 06 2017 11:15:00 GMT+0100 (CET),06/02/2017 11:15:00,266.8628030246,0.81795,20.9124,0.3646666667,8413666.66666666,25.1666666667,23.0666666667,3.9666666667,1.5666666667,0.001,15.2666666667,30.1333333333,0.2745,22.9333333333,23,20.5527624846,20.836290449,20.9665087603,21.0178940595,19.316852526,19.9241043593,20.2916991492,20.1959905735,6436666.66666667,0,892.67
Mon Feb 06 2017 11:30:00 GMT+0100 (CET),06/02/2017 11:30:00,20.7800272251,0.841225,20.9124,0.3623333333,8414000,24.1666666667,22.7,4.7333333333,3.0333333333,0.0196666667,12.3,31.9666666667,0.2756666667,22.9333333333,22.9333333333,20.5316996354,20.7114137142,21.0192662116,21.0217802112,19.3839122264,19.9451923882,20.1963133233,20.2608570041,6437000,139,660.33
Mon Feb 06 2017 11:45:00 GMT+0100 (CET),06/02/2017 11:45:00,729.691805603,0.79135,20.9124,0.3626666667,8414000,25.9666666667,22.4666666667,4.7,1.9666666667,0.0203333333,10.9,32.2,0.5146666667,27.2,22.5333333333,20.5396651234,20.6966934172,20.9589519971,21.0840202386,19.387944732,19.9352645123,20.2548291044,20.2086533474,6437000,5138,1477.00
Mon Feb 06 2017 12:00:00 GMT+0100 (CET),06/02/2017 12:00:00,1116.0250631996,0.854525,20.93571,0.362,8414333.33333333,29.6,22.6666666667,2.8666666667,-0.2666666667,0.0023333333,13.6333333333,31.0666666667,0.6323333333,30.2,23.5666666667,20.5429811876,20.7572583438,21.0743141101,21.13840735,19.3812833764,19.9032961902,20.2500427702,20.1878439495,6438000,4840.3333333333,2916.67
Mon Feb 06 2017 12:15:00 GMT+0100 (CET),06/02/2017 12:15:00,34.5301039434,0.9443,20.92905,0.363,8415000,29.3666666667,23.0666666667,2.9333333333,0.4,0.001,16.0666666667,30.1333333333,0.274,26.0333333333,23.8333333333,20.5327655967,20.7556064514,21.0188456139,21.1348046665,19.3829277361,20.047872755,20.1915723386,20.2432436223,6439000,2244,2658.67
Mon Feb 06 2017 12:30:00 GMT+0100 (CET),06/02/2017 12:30:00,499.0740720649,1.08395,20.9457,0.3646666667,8416000,26.4666666667,23.5333333333,3.4333333333,0.9,0.001,17.6333333333,29.3333333333,0.2745,23.4,23.5333333333,20.5385745596,20.7680959772,20.9615284133,21.1413351958,19.390675258,20.0122108977,20.3251827689,20.1988304087,6439000,0,1246.00
Mon Feb 06 2017 12:45:00 GMT+0100 (CET),06/02/2017 12:45:00,407.5501330847,1.027425,20.96235,0.3656666667,8416000,25.3666666667,23.1666666667,4.3,3.1333333333,0.0583333333,10.7666666667,32.7666666667,0.185,23.7333333333,23.3666666667,20.5454245804,20.7641178333,21.0906260251,21.1827714668,19.5118499622,19.9566149801,20.1940218176,20.3967401492,6439000,510,952.67
Mon Feb 06 2017 13:00:00 GMT+0100 (CET),06/02/2017 13:00:00,376.6875643572,1.087275,20.97234,0.3636666667,8416000,24.2333333333,22.8,4.6666666667,2.4333333333,0.003,13.4333333333,31.4666666667,0.3936666667,25.2,22.9666666667,20.5997952242,20.7633952693,21.1501837386,21.1813107465,19.5837279516,19.9568547204,20.3439529206,20.3475868787,6439000,4987,582.00
Mon Feb 06 2017 13:15:00 GMT+0100 (CET),06/02/2017 13:15:00,1095.5913428984,0.95095,20.99232,0.3623333333,8416666.66666666,29.2,22.6,3.3666666667,0.1333333333,0.0013333333,15.6666666667,30.4,0.635,29.6666666667,22.8333333333,21.0254654762,20.9055522764,21.1523693594,21.1855822547,19.570437512,19.956207843,20.3318912212,20.396412221,6440000,5029.6666666667,2777.67
Mon Feb 06 2017 13:30:00 GMT+0100 (CET),06/02/2017 13:30:00,401.1214011639,0.5985,21.46518,0.3636666667,8417333.33333333,30.1333333333,23.2,2.6666666667,-0.2,0.001,17.6666666667,29.5,0.454,28.8666666667,24.4666666667,21.3368995638,21.3227089588,21.1866141248,21.1539425164,19.5841919875,20.1327762186,20.3800207357,20.4645219703,6441000,4845,2929.33
Mon Feb 06 2017 13:45:00 GMT+0100 (CET),06/02/2017 13:45:00,120.215547851,0.495425,21.73491,0.365,8418000,26.2666666667,23.5333333333,3.5333333333,1.1666666667,0.001,19,28.7666666667,0.275,23.2,23.6,21.5394808445,21.5416132055,21.1089526933,21.1528067659,19.5803488262,20.1377404998,20.4565114496,20.3928503279,6441000,0,1164.67
Mon Feb 06 2017 14:00:00 GMT+0100 (CET),06/02/2017 14:00:00,365.7911430964,0.395675,21.78819,0.3636666667,8418000,24.1,23.2666666667,4.4333333333,2.5666666667,0,19.9,28.1333333333,0.275,23.3,23.4666666667,21.6616603333,21.5729118191,21.1983979481,21.1591673347,19.6131178285,20.1381453254,20.3750974673,20.4782916439,6441000,0,344.00
Mon Feb 06 2017 14:15:00 GMT+0100 (CET),06/02/2017 14:15:00,522.5932859156,0.35245,21.82815,0.3646666667,8418000,23.4,22.7333333333,4.7333333333,2.7333333333,0,20.7,27.7,0.276,22.9666666667,23.0333333333,21.7343135957,21.5678277802,21.205365419,21.1520975733,19.7602551714,20.1525853887,20.3775140659,20.3940995676,6441000,0,278.33
Mon Feb 06 2017 14:30:00 GMT+0100 (CET),06/02/2017 14:30:00,496.8331146982,0.029925,21.85812,0.3646666667,8418000,24.0666666667,22.5,4.6333333333,2.0333333333,0.029,9.7333333333,35.2666666667,0.2745,22.8666666667,22.6333333333,21.7296793103,21.7433191274,21.1509076349,21.1429190705,19.9287125416,20.261013577,20.4246989209,20.4012224244,6441000,272,703.67
Mon Feb 06 2017 14:45:00 GMT+0100 (CET),06/02/2017 14:45:00,32.6843840197,-0.01995,21.89475,0.365,8418000,23.8666666667,22.4333333333,5.1333333333,3.2,0.0033333333,11,33.9,0.2733333333,23,22.4,21.4642612556,21.5516254917,21.1811658853,21.1336315577,20.2649012961,20.2629071779,20.3770843327,20.6571671528,6441000,798,607.33
Mon Feb 06 2017 15:00:00 GMT+0100 (CET),06/02/2017 15:00:00,20.1242725415,-0.23275,21.75822,0.3626666667,8418000,22.6333333333,22.4,5.7,4.6333333333,0.0013333333,13.5333333333,32.6333333333,0.2746666667,22.1333333333,22.2666666667,21.3404756355,21.4259692915,21.1590445366,21.1490086702,20.4020707063,20.161253531,20.5828016632,20.6109013049,6441000,0,100.33
Mon Feb 06 2017 15:15:00 GMT+0100 (CET),06/02/2017 15:15:00,883.2360260574,-0.16625,21.56841,0.358,8418000,22.5333333333,22.2666666667,5.3333333333,3.5666666667,0.001,15.6,31.5333333333,0.273,22.1,22.1666666667,21.1319846377,21.371451942,21.1621853914,21.2197401758,20.3607322652,20.1420844066,20.7753580957,20.663136683,6441000,0,97.33
Mon Feb 06 2017 15:30:00 GMT+0100 (CET),06/02/2017 15:30:00,1614.3465560291,-0.532,21.42522,0.3603333333,8418000,22.3666666667,22.1666666667,3.4333333333,0.7,0.0256666667,12.6333333333,35.9666666667,0,22.1,22.1,21.0801090949,21.3990427749,21.2159171949,21.2568179268,20.2388874853,20.1380741794,20.3855509256,20.5376196332,6441000,0,90.00
Mon Feb 06 2017 15:45:00 GMT+0100 (CET),06/02/2017 15:45:00,1735.1221717162,-0.701575,21.28203,0.3616666667,8418000,22.2333333333,22.0666666667,2.5333333333,-0.0333333333,0.0023333333,14.9,34.5666666667,0,22.1,22.1333333333,20.9446205175,21.3149692838,21.1459338142,21.1693271468,20.0420993699,20.0880973433,20.4275791663,20.4415708872,6441000,0,70.67
Mon Feb 06 2017 16:00:00 GMT+0100 (CET),06/02/2017 16:00:00,1807.6802378011,-0.807975,21.19545,0.3626666667,8418000,22.1333333333,22,2,-0.3666666667,0.001,16.6333333333,33.2,0,22.1333333333,22.2333333333,20.9614552166,21.1135553127,21.2115771711,21.1438108258,19.7980565819,20.0580519483,20.3813616421,20.4055778654,6441000,0,63.67
Mon Feb 06 2017 16:15:00 GMT+0100 (CET),06/02/2017 16:15:00,1343.9996167589,-0.708225,21.16548,0.3573333333,8418666.66666666,26.8333333333,21.9666666667,1.7666666667,-0.8666666667,0.001,18.5,32.2,0.6265,26.4,21.8666666667,20.9615289128,20.9721774146,21.1695095375,21.1634689125,19.805772522,19.9470866616,20.3497405165,20.3383428408,6441666.66666667,5005,2011.00
Mon Feb 06 2017 16:30:00 GMT+0100 (CET),06/02/2017 16:30:00,1121.4301422894,-0.7714,21.15882,0.3596666667,8419000,29.1333333333,22.6,1.3333333333,-1.6,0.0223333333,13.5333333333,46.7,0.619,29.6,23.1333333333,20.8704438931,20.9742286881,21.1469340176,21.1440266717,19.6475457003,19.9530574684,20.1900313666,20.3293996256,6442666.66666667,4660.3333333333,2730.67
Mon Feb 06 2017 16:45:00 GMT+0100 (CET),06/02/2017 16:45:00,973.9266754046,-0.761425,21.15216,0.359,8420000,31.6,23.4333333333,1,-1.9,0.0023333333,16.1,44.3666666667,0.6083333333,32.1,25.5333333333,20.7470036444,20.9685724945,21.2009930405,21.1332844696,19.5985486963,19.968297706,20.1853073129,20.1921780301,6444000,4631,3386.67
Mon Feb 06 2017 17:00:00 GMT+0100 (CET),06/02/2017 17:00:00,15.9678465292,-0.91105,21.16215,0.3613333333,8421000,31.8666666667,24.2333333333,2.1666666667,0.35,0.001,18.3333333333,41.8333333333,0.002,32.3,25.8,20.8035044565,20.9534232876,21.2069841052,21.1607646439,19.5277179868,20.0382543484,20.2484379695,20.2524195803,6444000,18,3200.67
Mon Feb 06 2017 17:15:00 GMT+0100 (CET),06/02/2017 17:15:00,15.9385805592,-0.9443,21.16881,0.3636666667,8421000,24.5,24.3,3.0666666667,4.2666666667,0.001,20.1333333333,39.8,0,31.3,24.5,20.964055622,21.0243247193,21.1430699595,21.1514213629,19.414841748,20.1285079573,20.1884974053,20.3916119507,6444000,0,89.33
