Control,Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld-sup,Tbld-ret,Tout-sup,Tout-ret,F hw,Thw in-c,Thw out,Fhp,Thp-sup,Thp-ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
06/02/2017 03:30:00,Mon Feb 06 2017 03:30:00 GMT+0100 (CET),23.3396277916,2.17455,20.6127,0.3633333333,8403000,28.6333333333,23.2666666667,3.6666666667,1.6,0,24.7,24.3333333333,0.2743333333,23.8,23.5333333333,20.3479011415,20.5818927028,20.545053859,20.5616111408,20.9505391974,19.9531286053,20.8587546274,20.6125695073,6427000,351,2267
06/02/2017 03:45:00,Mon Feb 06 2017 03:45:00 GMT+0100 (CET),34.6370224694,1.978375,20.61936,363,8403666.66666666,26.7666666667,23.3333333333,4.5,2.3333333333,0,24.7,24.4333333333,275,28.7,23.6,20.3531525511,20.5204110777,20.6006450086,20.5912190323,20.9763324686,20.1391865838,20.8542373374,20.6129246406,6427000,5386,1420
06/02/2017 04:00:00,Mon Feb 06 2017 04:00:00 GMT+0100 (CET),538.3921848596,1.88195,20.63934,363,8404000,24.7666666667,22.9,5.0333333333,2.5666666667,0,24.7,24.4333333333,0.2755,23.2666666667,23.2333333333,20.3472736516,20.4936797388,20.5486736304,20.6651194898,20.9419517575,20.1381975441,20.922088821,20.8584961562,6427000,36,793
06/02/2017 04:15:00,Mon Feb 06 2017 04:15:00 GMT+0100 (CET),735.7921083196,1.891925,20646,362,8404000,26.8,22.6666666667,5,2.5666666667,0,24.7,24.4666666667,0.5136666667,27.5333333333,22.8333333333,20.36034475,20.5555000884,20.6065860809,20.6669789664,20.9755549276,20.1747164663,21.0336169297,20.7855208827,6427333.33333333,5183,1726
06/02/2017 04:30:00,Mon Feb 06 2017 04:30:00 GMT+0100 (CET),20.1899441353,1.865325,20.66265,0.3633333333,8404666.66666666,26.5333333333,22.8,4.8666666667,2.9,0,24.7666666667,24.5333333333,274,22.7,22.7666666667,20.3436604515,20.5576559607,20.6037361137,20.5792520843,20.9721470545,20.2403351393,20.9806074154,20.8434314759,6428000,34,1583
06/02/2017 04:45:00,Mon Feb 06 2017 04:45:00 GMT+0100 (CET),427.8156322295,1.825425,20.68263,0.3633333333,8405000,28.3333333333,22.9666666667,4.5666666667,1.5,0,24.7333333333,24.5666666667,453,27.6666666667,23.0333333333,20.3589249156,20.5558059295,20.5452040886,20.5702130558,20.987983541,20.2459501228,21.0315479477,20.7906054965,6428000,5086,2254.6666666667
06/02/2017 05:00:00,Mon Feb 06 2017 05:00:00 GMT+0100 (CET),406.3196078863,1.758925,20.68263,0.3636666667,8405333.33333333,25.5333333333,23.1,5.2333333333,3.7,0,24.8,24.6,0.2716666667,23.1333333333,23.2,20.348221492,20.5659224327,20.625302216,20.6207581506,20.9876605673,20.1563925269,20.9723856947,20.8502029765,6428000,92,1035.6666666667
06/02/2017 05:15:00,Mon Feb 06 2017 05:15:00 GMT+0100 (CET),26.9747909792,1.4098,20.68596,363,8406000,25.0666666667,22.8,5.5666666667,3.3333333333,0,24.8,24.6,0.2743333333,23.9333333333,23.0666666667,20.3630235377,20.5676108893,20.6278856068,20.5619778932,20.9672421956,20.3217324218,20.9740668019,20.9912212902,6428333.33333333,1035,936.6666666667
06/02/2017 05:30:00,Mon Feb 06 2017 05:30:00 GMT+0100 (CET),374.0762553187,1.3566,20.70594,363,8406000,24.0333333333,22.5333333333,5.7666666667,3.2333333333,0,24.8333333333,24.6,0.3943333333,25,22.6666666667,20.3470539544,20.5828494224,20.6169334268,20.740066833,20.957091522,20.2784140548,21.0486992888,20.8695726854,6429000,5052,614
06/02/2017 05:45:00,Mon Feb 06 2017 05:45:00 GMT+0100 (CET),1089.0618749739,1.260175,20.71926,362,8406000,29.1333333333,22.5,4.3333333333,1,0,24.8,24.6,0.6366666667,29.6,22.6333333333,20.361181301,20.6686527586,20.7469875301,20.743492893,20.9860937829,20.277847243,20.9757439113,20.8431448618,6429666.66666667,5145.3333333333,2795
06/02/2017 06:00:00,Mon Feb 06 2017 06:00:00 GMT+0100 (CET),22.7776671697,1.226925,20.72592,364,8407000,28.0666666667,23.1666666667,4.2,1.9,0,24.9666666667,24.6,274,24,23.2666666667,20.3436638866,20.6639373428,20.6727808713,20.7394310633,20.8917279287,20.3267321403,21.0120221511,20.8548603763,6430000,839,2081.6666666667
06/02/2017 06:15:00,Mon Feb 06 2017 06:15:00 GMT+0100 (CET),34.7820396268,1.1305,20.74257,0.3646666667,8407000,25.7333333333,23.3333333333,4.8666666667,2.4,0,24.9333333333,24.6,0.2753333333,26.3,23.5666666667,20.4800759448,20.5891114631,20.8089987402,20.7427541302,20.6422027603,20.338011363,21.0293840293,21.0105650676,6430000,1746,1015
06/02/2017 06:30:00,Mon Feb 06 2017 06:30:00 GMT+0100 (CET),513.045146438,1.13715,20.74923,0.3626666667,8407666.66666666,24.7666666667,23.0666666667,5.3,3.3333333333,0,24.9,24.6,0.2755,23.3333333333,23.2333333333,20.5567109153,20.5551008172,20.752945485,20.7399225327,20.394395678,20.3394733172,21.094608287,20.9151653428,6430000,134,712
06/02/2017 06:45:00,Mon Feb 06 2017 06:45:00 GMT+0100 (CET),501.8819837715,1.0507,20.76921,0.3643333333,8408000,24.1,22.6333333333,5.6333333333,3.4333333333,0,24.9,24.6333333333,0.2735,22.8666666667,22.8666666667,20.5444059888,20.5526303165,20.8155254476,20.740770634,20.1703829391,20.3396517129,21.0720948903,20.9745825585,6430333.33333333,136,630.6666666667
06/02/2017 07:00:00,Mon Feb 06 2017 07:00:00 GMT+0100 (CET),374.4525127314,1.040725,20.7792,364,8408000,24.6,22.5333333333,5.7666666667,4.3333333333,145,8.0666666667,34.8333333333,0.3923333333,24.8333333333,22.5333333333,20.5477153883,20.5616484737,20.820277295,20.87598642,20.0380390106,20.170922457,20.9752212577,20.870699975,6431000,2600.5,860.6666666667
06/02/2017 07:15:00,Mon Feb 06 2017 07:15:00 GMT+0100 (CET),739.036127703,0.914375,20.78253,362,8408333.33333333,29.2333333333,22.5666666667,4.1333333333,0.8666666667,6,9.4333333333,33.2666666667,0.5153333333,29.3,22.6666666667,20.7302826342,20.5737431032,20.8145662723,21.009803779,19.9764793218,20.1859285456,20.975768874,20.7902861076,6431666.66666667,4124.3333333333,2809
06/02/2017 07:30:00,Mon Feb 06 2017 07:30:00 GMT+0100 (CET),495.0630652663,0.781375,20.78586,362,8409000,26.6666666667,23.1666666667,4.4,2.2666666667,0.0243333333,10.1,33.2333333333,0.2735,23,23.2,20.6722850367,20.556819633,20.8124288678,21.0576445598,19.8026432526,20.2577984183,21.0427548556,20.852714658,6432000,0,1480.6666666667
06/02/2017 07:45:00,Mon Feb 06 2017 07:45:00 GMT+0100 (CET),477.7955350053,0.788025,20.79585,364,8409000,25.5,23.2,4.5666666667,2.2,0.0276666667,10.5,33.1666666667,0.2745,23.3333333333,23.3333333333,20.7456098067,20.684119381,20.8213425892,20.9979580859,19.8101645518,20.2039528273,21.1064064179,20.9843614225,6432000,119,981.6666666667
06/02/2017 08:00:00,Mon Feb 06 2017 08:00:00 GMT+0100 (CET),455.9715127113,0.84455,20.80584,0.3633333333,8409000,24.2666666667,22.8,4.7333333333,2.7666666667,378,9.7,33,0.2755,23.1666666667,23.0333333333,20.6708857997,20.6915972481,20.8816302527,20.9647995056,19.7120657821,20.1513941059,21.0602489949,21.0370030202,6432000,250,638
06/02/2017 08:15:00,Mon Feb 06 2017 08:15:00 GMT+0100 (CET),768.0727322745,0.734825,20.85579,0.3636666667,8409666.66666666,24.1,22.5666666667,4.7666666667,2.0666666667,0.0323333333,9.3333333333,29.9,454,25.4,22.7,20.5472276647,20.7019501459,20.9754957298,20.951186984,19.6011670116,20.1348385893,20.9731912104,20.849693187,6432000,6252,660.3333333333
06/02/2017 08:30:00,Mon Feb 06 2017 08:30:00 GMT+0100 (CET),1087.5879057937,0.734825,20.82915,0.3613333333,8410000,28.9666666667,22.5333333333,3.0666666667,-0.1333333333,0.0263333333,10.1333333333,30.1666666667,0.6303333333,29.4333333333,22.5666666667,20.5445987143,20.7306832697,20.9474427614,20.9520327643,19.5987044312,20.1375854529,20.8504027815,20.7169292583,6433333.33333333,5005.3333333333,2695.6666666667
06/02/2017 08:45:00,Mon Feb 06 2017 08:45:00 GMT+0100 (CET),1185.4634569794,0.608475,20.81916,0.3623333333,8410666.66666666,30.3333333333,23.3,2,-1.1333333333,31,10.8,30.2666666667,622,31.4333333333,24.8666666667,20.3440536807,20.6263460534,20.9863884958,20.9540088183,19.5172417108,20.1370458194,20.7281579721,20.6095345619,6434000,4675,2972.3333333333
06/02/2017 09:00:00,Mon Feb 06 2017 09:00:00 GMT+0100 (CET),19.8774707586,0.681625,20.85246,365,8411000,25.9666666667,23.8,2.8333333333,0.8666666667,33,10.7,30.8333333333,275,23.0666666667,23.6666666667,20.5284959828,20.588595842,21.0220447886,20.9538384929,19.3804278489,20.1398784914,20.5250535365,20.6090203288,6434000,0,931.3333333333
06/02/2017 09:15:00,Mon Feb 06 2017 09:15:00 GMT+0100 (CET),445.2288703062,0.561925,20.86245,0.3636666667,8411000,23.7666666667,23.3,3.3,0.3666666667,0.0023333333,13.2333333333,29.9333333333,276,23.4333333333,23.5,20.5564699684,20.6255977106,20.9703668545,20.9512131834,19.3854778949,20.1371816618,20.3883508052,20.5727518469,6434000,0,209.3333333333
