Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld,sup,Tbld,ret,Tout,sup,Tout,ret,F hw,Thw in,c,Thw out,Fhp,Thp,sup,Thp,ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
Sat Mar 04 2017 02:15:00 GMT+0100 (CET),74.22,4.591825,22.95036,0.3483333333,8995000,23.9666666667,23.5,6.6666666667,9.8333333333,0,29.3,32.5,0,30.7,25.5333333333,22.1394901791,22.3371101624,21.9869782492,22.7114255324,22.1552152357,21.5397330735,22.2307550559,21.9858365517,7020000,0,222.67,,,,,,,
Sat Mar 04 2017 02:30:00 GMT+0100 (CET),51.00,4.50205,22.9437,0.34,8995000,23.6666666667,23.3,8,10.8666666667,0,29.3,32.4,0,30.1,25.5666666667,22.1412845915,22.3289362077,21.940690629,22.7387722897,22.1518373913,21.5227411039,22.2009700309,22.0045899443,7020000,0,153.00,,,,,,,
Sat Mar 04 2017 02:45:00 GMT+0100 (CET),39.22,4.498725,22.93038,0.3423333333,8995000,23.4,23.1333333333,9.3,11.8666666667,0,29.3,32.3333333333,0,29.5333333333,25.5,22.1424348653,22.2733746802,21.9772474369,22.6066327146,22.2219335956,21.5214907864,22.1484633205,21.9850305557,7020000,0,117.67,,,,,,,
Sat Mar 04 2017 03:00:00 GMT+0100 (CET),28.33,4.658325,22.93371,349,8995000,23.2,23.0333333333,10.5666666667,12.9666666667,0,29.3,32.3,0,29.0333333333,25.5,22.1202057058,22.2929224151,21.9975727961,22.5985584925,22.3609148297,21.5248447955,22.1624780924,22.0376630419,7020000,0,85.00,,,,,,,
Sat Mar 04 2017 03:15:00 GMT+0100 (CET),29.00,4.60845,22.92039,0.3496666667,8995000,23.1666666667,22.9333333333,11.8,14,0,29.3,32.1666666667,0,28.5666666667,25.5,22.1401190023,22.3403831424,21.9428628352,22.7229146732,22.3497368304,21.5225512784,22.225048747,21.979241578,7020000,0,87.00,,,,,,,
Sat Mar 04 2017 03:30:00 GMT+0100 (CET),89.78,4.445525,22.91373,0.3533333333,8995000,23.5,22.7333333333,10.5666666667,11.2666666667,0,29.3,32.1333333333,632,29,24.5666666667,22.1394009998,22.2355606474,21.9331279844,22.6769951344,22.3367577713,21.5228697326,22.1533564408,22.047087097,7020000,5673,269.33,,,,,,,
Sat Mar 04 2017 03:45:00 GMT+0100 (CET),872.78,4.3358,22.90707,0.3513333333,8995333.33333333,29.3666666667,22.9666666667,5.3666666667,2.3,0,29.3,32.1,636,29.9666666667,22.9333333333,22.1415656253,22.2267373556,21.9787692467,22.6878253994,22.3386566437,21.5226600892,22.1559006438,21.9855308553,7021333.33333333,5195.6666666667,2618.33,,,,,,,
Sat Mar 04 2017 04:00:00 GMT+0100 (CET),1093.56,4.42225,22.89375,354,8996000,31.7666666667,23.7333333333,3.9333333333,0.9,0,29.3,32,0.6345,32.6,26,22.117007465,22.165502584,21.9836603796,22.5496108908,22.5611051757,21.5303344012,22.2329914013,22.0380592007,7022666.66666667,4917.5,3280.67,,,,,,,
Sat Mar 04 2017 04:15:00 GMT+0100 (CET),670.78,4389,22.90041,357,8997000,29.6,24.7333333333,4.6,4.1666666667,0,29.3,32,0,32.3,26.2333333333,22.1412557637,22.1540396796,21.9219233233,22.5682412252,22.5616552,21.5423730168,22.1591092413,22.0339584237,7023000,0,2012.33,,,,,,,
Sat Mar 04 2017 04:30:00 GMT+0100 (CET),46.67,4.299225,22.89042,0.3586666667,8997000,24.9333333333,24.9333333333,5,7.5666666667,0,29.3333333333,31.9,0,31.6,25.7333333333,22.1381156942,22.1912932361,21.9848695149,22.5972554069,22.5357991999,21.6699980316,22.3502149933,22.1761831827,7023000,0,140.00,,,,,,,
Sat Mar 04 2017 04:45:00 GMT+0100 (CET),141.44,4.285925,22.88043,355,8997000,24.8333333333,23.7666666667,5.5,8.4,0,29.4,31.8666666667,0,30.9333333333,25.4666666667,22.1393409379,22.2670177642,21.9348293964,22.6070662644,22.5366823102,21.779040137,22.4012308488,22.1680242606,7023000,0,424.33,,,,,,,
Sat Mar 04 2017 05:00:00 GMT+0100 (CET),72.33,4.2427,22.88709,355,8997000,24.0666666667,23.5666666667,6.2666666667,9.2333333333,0,29.3333333333,31.8,0,30.3333333333,25.2333333333,22.1196121204,22.3315400969,21.9200685158,22.6567264391,22.5374455836,21.8123844287,22.3617601779,22.2170942474,7023000,0,217.00,,,,,,,
Sat Mar 04 2017 05:15:00 GMT+0100 (CET),51.44,4.186175,22.89708,0.3533333333,8997000,23.7,23.3333333333,7.5,10.1333333333,0,29.3333333333,31.7666666667,0,29.7333333333,25.1666666667,22.1297528576,22.2679116908,21.9729908095,22.5426798948,22.5660101099,21.8270409272,22.3600316712,22.1653757572,7023000,0,154.33,,,,,,,
Sat Mar 04 2017 05:30:00 GMT+0100 (CET),41.22,4.226075,22.8771,351,8997000,23.5,23.2,8.9,11.3,0,29.3,31.7,0,29.1666666667,25.1333333333,22.1375489738,22.3205400173,21.9882228871,22.5425409914,22.5820826545,21.8252482368,22.4272441404,22.2172081972,7023000,0,123.67,,,,,,,
Sat Mar 04 2017 05:45:00 GMT+0100 (CET),32.00,4.299225,22.88709,0.3543333333,8997000,23.2666666667,23.0666666667,10.1666666667,12.4,0,29.2666666667,31.6333333333,0,28.7,25.1666666667,22.1417845161,22.1649079507,21.9323622087,22.5464672771,22.757566585,21.7030013065,22.3826820135,22.1723370537,7023000,0,96.00,,,,,,,
Sat Mar 04 2017 06:00:00 GMT+0100 (CET),27.78,4.246025,22.8771,0.3543333333,8997000,23.2,23,11.4,13.4666666667,0,29.2,31.6,0,28.2333333333,25.1,22.1153654395,22.2314960235,21.9515341056,22.5765744352,22.6771117153,21.626297527,22.3630272565,22.2259278227,7023000,0,83.33,,,,,,,
Sat Mar 04 2017 06:15:00 GMT+0100 (CET),524.78,4.19615,22.86045,0.3513333333,8997333.33333333,26.8,22.9,8.2333333333,6.7333333333,0,29.2333333333,31.5333333333,0.6415,29.3,23.6333333333,22.1840963199,22.2344269922,21.982771851,22.6195659667,22.345870855,21.5566550883,22.3749682959,22.1728080461,7023000,5301.5,1574.33,,,,,,,
Sat Mar 04 2017 06:30:00 GMT+0100 (CET),927.33,4.398975,22.86378,0.3503333333,8998000,30.6333333333,23.8,4.4333333333,1.3333333333,0,29.2,31.5333333333,0.6453333333,31.4666666667,24.8,22.2585335881,22.2197637725,21.9784403153,22.5462436402,22.0157323826,21.5478082767,22.4204057684,22.2269038051,7024333.33333333,4977.3333333333,2782.00,,,,,,,
Sat Mar 04 2017 06:45:00 GMT+0100 (CET),1034.00,4.3225,22.85379,0.3556666667,8998666.66666666,32.4666666667,24.9333333333,4.3333333333,2.1333333333,0,29.2666666667,31.4666666667,0,33,26.5,22.312954975,22.2153909267,21.9279167841,22.5395702241,21.7000085921,21.6602393756,22.3620224743,22.1810519342,7025000,0,3102.00,,,,,,,
Sat Mar 04 2017 07:00:00 GMT+0100 (CET),227.17,4.279275,22.86045,0.3506666667,8999000,26.2333333333,25.2333333333,4.9,6.4666666667,0.2123333333,8.8666666667,47.5333333333,0,32.3333333333,26.3333333333,22.3055178772,22.1544311641,21.9335852815,22.5379798066,21.5695060378,21.7295870591,22.4899708113,22.2194484825,7025000,0,681.50,,,,,,,
Sat Mar 04 2017 07:15:00 GMT+0100 (CET),166.44,4.452175,22.91373,0.3496666667,8999000,25.4,24.1666666667,5.0666666667,4.1666666667,84,8.2,46.3,123,31.5666666667,25.3333333333,22.309605309,22.2717278739,22.1075179489,22.7787114435,21.4303848797,21.7349461028,22.6586332812,22.2259069733,7025000,903,499.33,,,,,,,
Sat Mar 04 2017 07:30:00 GMT+0100 (CET),89.78,4.385675,22.94037,0.3373333333,8999000,24.5666666667,23.8333333333,3.6333333333,1.1333333333,0.0446666667,9.9666666667,45.8333333333,0,30.7,25.1666666667,22.3228375221,22.4428760426,21.9558634871,22.6409918454,21.3469653532,21.7226808977,22.560514351,22.1802770156,7025000,0,269.33,,,,,,,
Sat Mar 04 2017 07:45:00 GMT+0100 (CET),62.67,4.4821,22.94037,0.3476666667,8999000,24.0333333333,23.6,2.8666666667,0.5666666667,0.0523333333,10.2,47.5333333333,0,29.8,25.2666666667,22.318944771,22.3596650824,22.1111501084,22.6516148222,21.314345774,21.7198941845,22.562486371,22.2280986801,7025000,0,188.00,,,,,,,
Sat Mar 04 2017 08:00:00 GMT+0100 (CET),48.44,4.4821,22.98699,0.3493333333,8999333.33333333,23.7,23.3666666667,2.4333333333,0.3333333333,297,8.9666666667,49.2333333333,1,29,25.3666666667,22.3063937851,22.3376130373,22.1690832176,22.674537799,21.1575872004,21.7164880493,22.5790554876,22.1793011907,7025000,3,145.33,,,,,,,
Sat Mar 04 2017 08:15:00 GMT+0100 (CET),37.44,4.252675,23.03694,348,9000000,23.5333333333,23.2333333333,2.2,,0.4,0.3483333333,8.1333333333,46.7,1,28.3666666667,25.1,22.3152443335,22.3331039631,21.9384001285,23.119914504,21.1578759263,21.5327572994,22.3660415228,22.1084184745,7025000,5,112.33,,,,,,
Sat Mar 04 2017 08:30:00 GMT+0100 (CET),29.67,4.445525,22.97367,345,9000000,23.4,23.2,1.8,,0.8,0.0456666667,9.5666666667,42.0333333333,0,27.7666666667,24.9333333333,22.2588348728,22.3262973996,22.071216658,23.0123835683,21.1850368661,21.5236696925,22.2902121692,21.9751791393,7025000,0,89.00,,,,,,
Sat Mar 04 2017 08:45:00 GMT+0100 (CET),24.89,4.7614,23.0769,0.3486666667,9000000,23.2666666667,23.1,1.5,,1.1,0.0516666667,10.2,41.4333333333,0,27.3333333333,24.9333333333,22.246578064,22.3331576903,22.1211544358,22.9440956325,21.1812355453,21.5215205684,22.2064443929,21.9647945223,7025000,0,74.67,,,,,,
Sat Mar 04 2017 09:00:00 GMT+0100 (CET),35.89,4.90105,23.09022,0.3526666667,9000000,23.1333333333,22.9,1.3,,1.2,0.0476666667,10.3666666667,42.6666666667,0,27,25.0333333333,22.306559129,22.4103173323,22.1777482614,22.9352248653,21.1546586382,21.5229389284,22.2060872044,21.7867346035,7025000,0,107.67,,,,,,
Sat Mar 04 2017 09:15:00 GMT+0100 (CET),18.89,4.997475,23.08356,0.3523333333,9000000,23.0333333333,22.8666666667,1.2333333333,,1.1666666667,0.0026666667,14.0333333333,40.6,0,26.6,25.2,22.2562141435,22.4159172997,22.1227643704,22.8663075368,21.0745671982,21.5215772718,22.0861867966,21.8320528639,7025000,0,56.67,,,,,,
Sat Mar 04 2017 09:30:00 GMT+0100 (CET),16.11,5.157075,23.09688,0.3556666667,9000000,22.9,22.8,1.2,,1,0.0543333333,11.5666666667,47.1666666667,0,26.3666666667,25.2666666667,22.1673556346,22.3356126202,22.1259990724,22.8012409627,20.9527324667,21.5234339881,21.9898615232,21.7772219336,7025000,0,48.33,,,,,,
Sat Mar 04 2017 09:45:00 GMT+0100 (CET),681.56,5.283425,23.1102,0.3523333333,9000000,27.7333333333,22.8,1.3,,1.3,3,15.8666666667,44.3333333333,622,28.3333333333,23.5666666667,22.1856140733,22.3296479276,22.1863077288,22.7616527984,20.9784108698,21.3891103776,22.0236751348,21.7983274959,7025333.33333333,4855.5,2044.67,,,,,,
Sat Mar 04 2017 10:00:00 GMT+0100 (CET),811.44,5.310025,23.09688,352,9000333.33333333,29.9333333333,23.9666666667,1.3,,1.5,0.0013333333,19.1333333333,42.2,0.61,30.5666666667,24.2666666667,22.1294841498,22.3323248175,22.108428666,22.7263712181,20.9483127059,21.402936568,21.9711747483,21.7085937161,7026666.66666667,4490.5,2434.33,,,,,,
Sat Mar 04 2017 10:15:00 GMT+0100 (CET),539.44,5.56605,23.09022,0.3563333333,9001000,28.6333333333,24.7666666667,2.5333333333,1.4333333333,1,21.4333333333,40.5333333333,3,31.5333333333,25.4666666667,22.1279514113,22.326416374,22.1192046763,22.7224387261,20.9683902963,21.5148677787,22.0015766447,21.7823088742,7027000,19,1618.33,,,,,,,
Sat Mar 04 2017 10:30:00 GMT+0100 (CET),93.11,5.762225,23.06358,353,9001000,24.9,24.2333333333,3.5666666667,5.4,0.1133333333,8.9,50.7333333333,0,30.7,24.6333333333,22.1248861204,22.3881594166,22.1759930408,22.8618320966,20.9899915265,21.5191423239,22.0164693598,21.7786885712,7027000,0,279.33,,,,,,,
Sat Mar 04 2017 10:45:00 GMT+0100 (CET),119.56,6.127975,23.09688,0.3563333333,9001000,24.4666666667,23.6,4.5333333333,5.2666666667,0.0503333333,7.9,49.4333333333,0,30.4666666667,24.4666666667,22.2577566477,22.3964084855,22.1151555057,23.0027046835,20.976895064,21.5265000279,21.9009797371,21.80106494,7027000,0,358.67,,,,,,,
Sat Mar 04 2017 11:00:00 GMT+0100 (CET),58.33,6.387325,23.10354,356,9001000,23.8333333333,23.4,3,0.5666666667,0.0033333333,13.5333333333,46.2666666667,0,30.2,24.4,22.3064648671,22.3468608869,22.1333096301,22.9280485356,20.9907535928,21.5201778625,21.9770768388,21.7743793628,7027000,0,175.00,,,,,,,
Sat Mar 04 2017 11:15:00 GMT+0100 (CET),46.78,6.43055,23.11686,356,9001000,23.5,23.2,2.0666666667,,0.1,0.0013333333,18.0333333333,43.9,0,29.3333333333,24.5,22.3111900331,22.3353725174,22.1613700704,22.9289727901,20.9635672631,21.5236920267,22.0233996251,21.8114064144,7027000,0,140.33,,,,,,
Sat Mar 04 2017 11:30:00 GMT+0100 (CET),85.78,6.44385,23.14017,355,9001000,23.6666666667,23.0666666667,3.0666666667,1.6333333333,0.0533333333,11.1333333333,50.1666666667,0.0143333333,40.0333333333,23.6333333333,22.3160451262,22.3290968795,22.1661291634,22.8994701954,20.8527552466,21.5240457961,21.9078623247,21.7693127364,7027000,203.3333333333,257.33,,,,,,,
Sat Mar 04 2017 11:45:00 GMT+0100 (CET),50.11,6.400625,23.13684,356,9001333.33333333,23.3666666667,23,4.1,6,0.0426666667,11.0333333333,50.5333333333,0.0045,45.3,23.2333333333,22.2678894767,22.3312595433,22.1345373913,22.9749969409,20.9372156825,21.5240211082,21.8772977283,21.7071530397,7027000,122,150.33,,,,,,,
Sat Mar 04 2017 12:00:00 GMT+0100 (CET),26.78,6.413925,23.16681,0.3556666667,9002000,23.1666666667,22.9666666667,5.6,9.0666666667,0.0023333333,15.8666666667,47.3666666667,0,43.4333333333,23.4,22.2535540406,22.4504011269,22.1960920646,22.9218298778,20.8209770159,21.5234564337,21.8407560789,21.6990906064,7027000,0,80.33,,,,,,,
Sat Mar 04 2017 12:15:00 GMT+0100 (CET),24.89,6.65665,23.15682,356,9002000,23.0333333333,22.8666666667,7.2,10.5333333333,1,19.2,44.9666666667,0,41.6666666667,23.7666666667,22.3235074404,22.3477480266,22.1881820643,22.8648570367,20.7972973764,21.4445155714,21.8305623269,21.709749221,7027000,0,74.67,,,,,,,
Sat Mar 04 2017 12:30:00 GMT+0100 (CET),20.89,6.932625,23.16681,355,9002000,22.9333333333,22.8,8.6666666667,11.7,1,21.5,43,0,40.0333333333,23.9666666667,22.2075929238,22.3293705097,22.1718280881,22.8481602362,20.7885829985,21.3938466232,21.8233163151,21.5893781541,7027000,0,62.67,,,,,,,
Sat Mar 04 2017 12:45:00 GMT+0100 (CET),20.22,6.97585,23.16681,0.3546666667,9002000,22.9666666667,22.8,10.1,12.8,0.0536666667,12.1666666667,49.6,0,38.7333333333,24.0666666667,22.3238859397,22.3401469561,22.1405186825,22.7790156943,20.7766059342,21.3393631232,21.7670056998,21.6587321542,7027000,0,60.67,,,,,,,
Sat Mar 04 2017 13:00:00 GMT+0100 (CET),23.33,6.992475,23.16681,0.3556666667,9002000,22.9,22.7666666667,11.3333333333,13.7,0.0026666667,15.8333333333,46.4,0,37.2333333333,23.8,22.1794717882,22.326556162,22.1432247985,22.9455483664,20.8023670514,21.3508757056,21.7603367457,21.596509324,7027000,0,70.00,,,,,,,
Sat Mar 04 2017 13:15:00 GMT+0100 (CET),18.11,6.9692,23.16681,0.3536666667,9002000,22.8,22.7,12.5333333333,14.6,0.0013333333,18.9333333333,44,0,35.2,23.4,22.2108822723,22.341455365,22.1943711928,22.9270307309,20.7646509167,21.3706585915,21.8171016573,21.6565645516,7027000,0,54.33,,,,,,,
Sat Mar 04 2017 13:30:00 GMT+0100 (CET),14.44,7.132125,23.16015,0.3553333333,9002000,22.8,22.7,13.5,15.4,1,21.1666666667,42.1,0,34.0666666667,23.7666666667,22.1486801794,22.480803498,22.1314930988,22.8667028426,20.7553346524,21.3720001901,21.7805489892,21.5979988133,7027000,0,43.33,,,,,,,
Sat Mar 04 2017 13:45:00 GMT+0100 (CET),14.22,6.965875,23.12352,0.3563333333,9002000,22.8,22.7,14.4,16.1,1,22.8666666667,40.5333333333,0,33,23.9666666667,22.139702961,22.3443513314,22.1919252374,22.7284475939,20.7976159331,21.4065180878,21.7567396703,21.6492497161,7027000,0,42.67,,,,,,,
Sat Mar 04 2017 14:00:00 GMT+0100 (CET),13.56,7.1554,23.15016,353,9002000,22.8666666667,22.7666666667,15.3,16.8,0,24.2,39.2666666667,0,32.0666666667,24.1333333333,22.1218367226,22.1700002519,22.1741580329,22.7372470849,20.7581124496,21.4408185297,21.8281798988,21.602117755,7027000,0,40.67,,,,,,,
Sat Mar 04 2017 14:15:00 GMT+0100 (CET),12.89,7.0889,23.12352,0.3513333333,9002000,22.7333333333,22.6333333333,16.0666666667,17.4,0,24.9333333333,38.2333333333,0,31.2,24.2,22.1393995111,22.2044342492,22.139572789,22.7878916706,20.7990832317,21.4461764679,21.7460977955,21.6365195761,7027000,0,38.67,,,,,,,
Sat Mar 04 2017 14:30:00 GMT+0100 (CET),13.22,6.97585,23.11686,356,9002000,22.7666666667,22.6666666667,16.8,18,0.05,13.5666666667,48.3,0,30.5,24.2666666667,22.1415744925,22.1535101074,22.1510446362,22.729376841,20.7891797152,21.4066727912,21.7055510498,21.4546671682,7027000,0,39.67,,,,,,,
Sat Mar 04 2017 14:45:00 GMT+0100 (CET),522.67,7.05565,23.1102,0.3543333333,9002000,26.4333333333,22.6,9.9333333333,8.2,0.0023333333,16.4,45.6333333333,0.6255,30.1333333333,23.0666666667,22.1376375989,22.2041913751,22.1286704529,22.7329347573,20.7659907614,21.3829764533,21.6720664039,21.5648674302,7027333.33333333,5549.5,1568.00,,,,,,,
Sat Mar 04 2017 15:00:00 GMT+0100 (CET),958.44,7.058975,23.07024,0.3523333333,9002333.33333333,30.1,23.0333333333,4.4666666667,1.4333333333,1,18.7,43.2666666667,0.6306666667,30.6,23.8333333333,22.061408841,22.2639993571,22.1930323442,22.7285658909,20.7492362701,21.3200338134,21.5788454109,21.3962454787,7028666.66666667,4965.3333333333,2875.33,,,,,,,
Sat Mar 04 2017 15:15:00 GMT+0100 (CET),986.67,6.992475,23.05026,354,9003000,31.4,24.1666666667,4.5,2.5333333333,1,20.8333333333,41.4,3,32.2,25.7,22.1391036357,22.1544613419,22.1336774147,22.8120600594,20.7709998029,21.3239095665,21.7136207367,21.5112435813,7029000,23,2960.00,,,,,,,
Sat Mar 04 2017 15:30:00 GMT+0100 (CET),72.83,7.039025,23.0769,359,9004000,25.0666666667,24.7333333333,5,6.8,0.0536666667,12.1333333333,47.9666666667,3,31.5333333333,24.9,22.141337217,22.1472081586,22.0365875432,22.7325816718,20.6917232469,21.3309974868,21.8357668433,21.6016357699,7029000,21,218.50,,,,,,,
Sat Mar 04 2017 15:45:00 GMT+0100 (CET),98.33,7.112175,23.0769,357,9004000,24.7,24,5.4666666667,8.4,0.0026666667,15.4,45,0,30.8666666667,24.4333333333,22.1393509757,22.1476962057,22.1980847977,22.7290745385,20.6165062648,21.5041200024,21.7566218134,21.6134135482,7029000,0,295.00,,,,,,,
Sat Mar 04 2017 16:00:00 GMT+0100 (CET),112.22,6.93595,23.05026,0.3566666667,9004000,24.2333333333,23.4333333333,6.1,9.1,1,17.8666666667,42.7333333333,0,30.3666666667,24.4333333333,22.1230668754,22.1441928726,22.130093765,22.727860049,20.6028382926,21.397278949,21.7547088179,21.6242339312,7029000,0,336.67,,,,,,,
Sat Mar 04 2017 16:15:00 GMT+0100 (CET),53.89,6.88275,23.05026,0.3556666667,9004000,23.6333333333,23.2,7.2,10,1,20.1333333333,40.8666666667,0,30,24.5333333333,22.1352948629,22.2311571031,22.1241705294,22.7432003003,20.5601300086,21.3311829725,21.8593464308,21.602768033,7029000,0,161.67,,,,,,,
Sat Mar 04 2017 16:30:00 GMT+0100 (CET),45.56,6.866125,23.04027,355,9004000,23.3333333333,23.0333333333,8.6,11.0666666667,47,12.5333333333,47.4,0,29.7333333333,24.6,22.1388243086,22.2469776152,21.9589983802,22.8056407343,20.5615877927,21.3223055822,21.7592474424,21.6408206695,7029000,0,136.67,,,,,,,
Sat Mar 04 2017 16:45:00 GMT+0100 (CET),37.56,6.7564,23.04693,356,9004000,23.1666666667,22.8666666667,9.9,12.1333333333,0.0023333333,15.6333333333,44.8,0,29.5,24.6,22.1392353311,22.1524816007,21.9330450261,22.724820136,20.5877784126,21.3151553981,21.7645487915,21.5876484213,7029000,0,112.67,,,,,,,
Sat Mar 04 2017 17:00:00 GMT+0100 (CET),28.89,6.5968,23.04693,0.3546666667,9004000,23,22.8,11.2,13.3,1,18.1666666667,42.6333333333,0,29.2,24.6,22.0625107148,22.1458682215,21.9802344742,22.7279974985,20.5937163692,21.3208694354,21.8542778618,21.5862722114,7029000,0,86.67,,,,,,,
Sat Mar 04 2017 17:15:00 GMT+0100 (CET),24.44,6.520325,23.04693,0.3556666667,9004000,22.8666666667,22.7333333333,12.3666666667,14.3,1,20.2666666667,40.7666666667,0,28.8,24.5,22.1289613319,22.2181149632,21.9881125502,22.7291442665,20.5677759802,21.3145693888,21.6399214114,21.511566821,7029000,0,73.33,,,,,,,
Sat Mar 04 2017 17:30:00 GMT+0100 (CET),19.56,6.354075,23.04027,0.3553333333,9004000,22.8,22.7,13.5,15.1666666667,0,21.9666666667,39.2333333333,0,28.4333333333,24.4333333333,22.3131473012,22.3346852208,21.9795574492,22.7854510054,20.5887213402,21.320400813,21.5966107404,21.4472470485,7029000,0,58.67,,,,,,,
Sat Mar 04 2017 17:45:00 GMT+0100 (CET),17.78,6.28425,23.04027,352,9004000,22.8,22.7,14.5,15.9,0,23.3666666667,38,0,28.1,24.4,22.308240229,22.3771918014,21.9424739707,22.7749056671,20.5776343498,21.3210517486,21.6855230612,21.3834673085,7029000,0,53.33,,,,,,,
Sat Mar 04 2017 18:00:00 GMT+0100 (CET),15.67,6.2643,23.01363,0.3506666667,9004000,22.7666666667,22.6666666667,12.4,12.3666666667,54,12.3666666667,46.4,0,28.1,24.2333333333,22.3084183813,22.4583844531,21.9744741176,22.7235599038,20.5861797191,21.3132707755,21.5780294194,21.4489458323,7029000,0,47.00,,,,,,,
Sat Mar 04 2017 18:15:00 GMT+0100 (CET),13.89,6.294225,22.99698,355,9004000,22.7,22.6,5.6666666667,3.2333333333,47,10.6666666667,46.9333333333,0,28.2666666667,23.9333333333,22.3025950377,22.3386301094,21.9771920988,22.7240473494,20.4316170143,21.3148489527,21.5906676083,21.3916126158,7029000,0,41.67,,,,,,,
Sat Mar 04 2017 18:30:00 GMT+0100 (CET),20.33,6.19115,22.99365,355,9004000,22.7333333333,22.6,4.7666666667,2.6,0.0526666667,10.2,49,16,29.0333333333,23.6666666667,22.3158579561,22.3321568642,21.9349479976,22.7287764434,20.4099705122,21.2514993347,21.6838840734,21.4323663108,7029000,151,61.00,,,,,,,
Sat Mar 04 2017 18:45:00 GMT+0100 (CET),69.44,6.1579,23.01363,0.3523333333,9004000,23.1,22.6,5.7,6.1333333333,3,14.6333333333,46.0333333333,0.0063333333,45.5,22.4333333333,22.3085293538,22.3310671386,21.9461412825,22.784172399,20.410865781,21.1416255451,21.5797741497,21.3864977982,7029000,170.6666666667,208.33,,,,,,,
Sat Mar 04 2017 19:00:00 GMT+0100 (CET),13.11,6.1579,23.00364,355,9004000,22.6333333333,22.5666666667,6.2666666667,10.0666666667,0.0473333333,11.5666666667,49.8666666667,3,43.6666666667,22.6666666667,22.3236892355,22.3389979447,22.0024268121,22.7326343441,20.3713490372,21.146058713,21.5961452183,21.4558161106,7029000,78,39.33,,,,,,,
Sat Mar 04 2017 19:15:00 GMT+0100 (CET),835.44,6.0249,23.00697,0.3483333333,9004000,28.8,22.5666666667,5.4333333333,2.3333333333,3,15.4333333333,46.9,0.6343333333,30.0333333333,22.3666666667,22.303087074,22.3511377027,21.9222763521,22.7256084312,20.3848739322,21.1923382085,21.6297732575,21.3820229036,7030000,5662.3333333333,2506.33,,,,,,,
Sat Mar 04 2017 19:30:00 GMT+0100 (CET),998.11,5.84535,22.99032,353,9005000,30.6666666667,23.3666666667,3.8,0.7666666667,0.0013333333,18.2333333333,44.4666666667,0.6305,31.4666666667,24.9,22.3194242311,22.4326910308,21.9726586731,22.7231450059,20.3803104718,21.255513637,21.5794997431,21.4506881038,7031333.33333333,4796.5,2994.33,,,,,,,
Sat Mar 04 2017 19:45:00 GMT+0100 (CET),747.33,5.496225,22.98699,357,9005666.66666666,29.8333333333,24.4333333333,4.5,3.4333333333,1,20.5,42.5,0.0015,32,25.6333333333,22.3243828439,22.340858593,21.9450571738,22.6571510482,20.3963133323,21.3105474084,21.6289012763,21.3879360955,7032000,13.5,2242.00,,,,,,,
Sat Mar 04 2017 20:00:00 GMT+0100 (CET),30.00,5.2003,22.99032,0.3583333333,9006000,24.7,24.6666666667,4.9,7.3333333333,1,22.2,40.8,0,31.3,24.8333333333,22.3212214761,22.3332297602,21.9322801775,22.6727694764,20.4006246974,21.405052653,21.6185850841,21.4516738471,7032000,0,90.00,,,,,,,
Sat Mar 04 2017 20:15:00 GMT+0100 (CET),123.33,4.80795,22.98366,0.3563333333,9006000,24.5666666667,23.6333333333,5.4,8.3333333333,0,23.5666666667,39.5,0,30.7,24.5333333333,22.3068896158,22.3307598743,21.991639308,22.5552498265,20.3638484221,21.340535369,21.6492179865,21.579372348,7032000,0,370.00,,,,,,,
Sat Mar 04 2017 20:30:00 GMT+0100 (CET),92.56,4.76805,22.98366,0.3553333333,9006000,23.9333333333,23.2666666667,6.1333333333,9.1,0.1006666667,8.7333333333,50.1,0,30.1666666667,24.5,22.3328463457,22.3320413354,21.9813574653,22.5447999916,20.3774216941,21.3259372324,21.8355927817,21.7675656712,7032000,0,277.67,,,,,,,
Sat Mar 04 2017 20:45:00 GMT+0100 (CET),46.78,4.525325,23.01363,0.3563333333,9006000,23.4666666667,23.1333333333,7.3666666667,10.0666666667,0.0056666667,10.2666666667,47.3333333333,0,29.8,24.5333333333,22.3232366982,22.4033188179,22.1365058918,22.5427749143,20.3960779562,21.313113385,21.9916493938,21.7762393649,7032000,0,140.33,,,,,,,
Sat Mar 04 2017 21:00:00 GMT+0100 (CET),49.33,4.159575,23.03694,0.3556666667,9006000,23.2666666667,22.9333333333,6.6666666667,5.7,475,7.7,48.2666666667,2,29.7666666667,24.0666666667,22.3254211835,22.3969666009,22.1346037953,22.7354191025,20.4063487559,21.3212646546,21.9704819775,21.8262385834,7032000,14,148.00,,,,,,,
Sat Mar 04 2017 21:15:00 GMT+0100 (CET),30.78,3.41145,23.06025,355,9006000,23.0333333333,22.8,4.5333333333,1.7333333333,0.1803333333,8.7666666667,36,0,29.3666666667,23.7333333333,22.3101177066,22.3286312707,22.2001564636,22.9269925272,20.3949828287,21.3130824899,22.0343906281,21.7739623803,7032000,0,92.33,,,,,,,
