Time,Php,Toutdoor,Tindoor,Fbld,Qbld,Tbld,sup,Tbld,ret,Tout,sup,Tout,ret,F hw,Thw in,c,Thw out,Fhp,Thp,sup,Thp,ret,R0,R1,R2,R3,R4,R5,R6,R7,Qhp,Php.1,Pbld
Wed Mar 01 2017 04:15:00 GMT+0100 (CET),822.67,2.397325,22.79385,353,8944333.33333333,31.4333333333,25.4666666667,3.9333333333,2.7333333333,0,29.2,31.9,2,33.2,26.9666666667,22.1390383835,22.3286149372,21.7893343017,22.5715481758,22.4424664167,21.6747202974,22.3597568615,22.1092682499,6971000,14,2468.00,,,,,,,
Wed Mar 01 2017 04:30:00 GMT+0100 (CET),48.78,2.403975,22.80384,0.3583333333,8945000,25.8333333333,25.4666666667,4.4666666667,6.7666666667,0,29.2333333333,31.8333333333,0,32.5333333333,26.4,22.1368293735,22.3083699346,21.8754796493,22.604074397,22.5718302961,21.7514081138,22.4307467024,22.2180110616,6971000,0,146.33,,,,,,,
Wed Mar 01 2017 04:45:00 GMT+0100 (CET),197.11,2.65335,22.79385,0.35,8945000,25.7333333333,24.3333333333,5.0333333333,8.1666666667,0,29.2333333333,31.7666666667,0,31.8666666667,25.8666666667,22.1204057849,22.2284559889,21.8560190583,22.536368208,22.569940401,21.7872055792,22.583425682,22.2180793626,6971000,0,591.33,,,,,,,
Wed Mar 01 2017 05:00:00 GMT+0100 (CET),87.00,2.929325,22.85379,0.3363333333,8945000,24.7,24.0333333333,5.8,8.9666666667,0,29.2,31.7333333333,0,31.2333333333,25.6,22.1286510375,22.4253300135,21.8468741195,22.5356656302,22.5375271862,21.821209213,22.3595324867,22.1778762808,6971000,0,261.00,,,,,,,
Wed Mar 01 2017 05:15:00 GMT+0100 (CET),70.44,3.228575,22.82049,0.3486666667,8945000,24.2333333333,23.7,6.8333333333,9.8333333333,0,29.3,31.6666666667,0,30.6,25.5,22.1835895399,22.4111383864,21.7998481813,22.5352927727,22.5354309802,21.8254875008,22.352740244,22.2264466337,6971000,0,211.33,,,,,,,
Wed Mar 01 2017 05:30:00 GMT+0100 (CET),48.11,3.281775,22.79385,349,8945000,23.8333333333,23.5,8.1666666667,10.8666666667,0,29.2,31.6,0,29.9333333333,25.4333333333,22.1197104845,22.3342389893,21.8039199686,22.5802034343,22.539049363,21.8372453998,22.4291062337,22.1720713456,6971000,0,144.33,,,,,,,
Wed Mar 01 2017 05:45:00 GMT+0100 (CET),713.22,3.341625,22.79718,0.3436666667,8945333.33333333,29.0333333333,23.5666666667,5.4,2.3,0,29.1333333333,31.5,638,31.0333333333,23.5666666667,22.1338034719,22.3412362978,21.8064900375,22.5705254492,22.5420034122,21.8211685526,22.4133991876,22.1331431081,6971666.66666667,5524.3333333333,2139.67,,,,,,,
Wed Mar 01 2017 06:00:00 GMT+0100 (CET),951.78,3.334975,22.7772,0.3486666667,8946000,32,24.9333333333,3.6,0.6,0,29.2,31.5,0.6346666667,32.7666666667,26.2333333333,22.1352395868,22.3310748207,21.7771825089,22.5337479422,22.5722193166,21.7609478928,22.3562611666,22.1632637828,6972666.66666667,4787.6666666667,2855.33,,,,,,,
Wed Mar 01 2017 06:15:00 GMT+0100 (CET),1003.22,3.354925,22.7772,346,8946666.66666666,33.1666666667,25.7,4,2.1333333333,0,29.1666666667,31.4333333333,0,33.6333333333,27.4,22.3198513195,22.3257545074,21.74648939,22.5249319897,22.3076240745,21.8245926741,22.3699093684,22.1157813297,6973000,0,3009.67,,,,,,,
Wed Mar 01 2017 06:30:00 GMT+0100 (CET),109.22,3.421425,22.78386,0.3513333333,8947000,26.6,25.8,4.5333333333,6.4333333333,0,29.2,31.4333333333,0,32.8333333333,26.8666666667,22.3017897675,22.3965102172,21.799325038,22.5251040345,21.9129624023,21.8359219183,22.4704986637,22.1728108079,6973000,0,327.67,,,,,,,
Wed Mar 01 2017 06:45:00 GMT+0100 (CET),207.89,3.581025,22.7772,343,8947000,26.2333333333,24.6666666667,5,7.9333333333,0,29.2,31.4,0,32.2666666667,26.3,22.3243686039,22.4176911712,21.8024895228,22.6319928827,21.5735956591,21.8064839258,22.3644136171,22.2317935684,6973000,0,623.67,,,,,,,
Wed Mar 01 2017 07:00:00 GMT+0100 (CET),83.00,3.760575,22.78386,0.3323333333,8947000,25.1333333333,24.4666666667,5.6333333333,8.6666666667,196,8.8,47.5666666667,3,31.4666666667,25.8666666667,22.3218788679,22.3277401818,21.8616814093,22.5540069697,21.4202691251,21.8093886232,22.3621513628,22.0986744892,6973000,17,249.00,,,,,,,
Wed Mar 01 2017 07:15:00 GMT+0100 (CET),74.22,3.9235,22.83381,0.3406666667,8947000,24.6333333333,24.0666666667,5.6333333333,4.7666666667,0.0826666667,11.9333333333,46.3333333333,3,30.9666666667,25.3,22.3305186144,22.3369887807,22.1334564264,22.5478105141,21.3803168305,21.7720186477,22.4725203901,22.1453692243,6973000,20,222.67,,,,,,,
Wed Mar 01 2017 07:30:00 GMT+0100 (CET),51.78,4.03655,22.84047,0.3396666667,8947000,24.2666666667,23.9,3.8333333333,1.3,0.0436666667,12.7,45.8666666667,0,30.2,25.1333333333,22.4517372588,22.3301048388,22.0852331143,22.5473648722,21.2541382231,21.7570672129,22.3697832465,22.1126430338,6973000,0,155.33,,,,,,,
Wed Mar 01 2017 07:45:00 GMT+0100 (CET),38.78,4.23605,22.83714,0.3373333333,8947666.66666666,24,23.7,2.9666666667,0.6333333333,0.05,11.4,47.6666666667,0,29.3333333333,25.2666666667,22.4687046261,22.3395818212,22.073104561,22.5508886598,21.1654457111,21.7281117832,22.3544731533,22.0335114578,6973000,0,116.33,,,,,,,
Wed Mar 01 2017 08:00:00 GMT+0100 (CET),236.00,4.43555,22.85712,0.3213333333,8948000,25.9,23.5666666667,3.0666666667,1.1333333333,0.2953333333,9.4,49.4333333333,0.2735,33.7333333333,24.2333333333,22.5291797321,22.4813395558,22.0835097658,22.6832880218,21.1914333405,21.5484340942,22.3601076313,21.9887168956,6973666.66666667,4055,708.00,,,,,,,
Wed Mar 01 2017 08:15:00 GMT+0100 (CET),33.67,4.398975,22.92372,0.34,8948000,24.2,24.2333333333,3.1666666667,0.4,0.3386666667,7,45.4666666667,0,23.5333333333,23.7,22.3258557054,22.3558001761,21.9987584705,23.0603313475,20.9657667217,21.4552279047,22.1243195206,21.9051851943,6974000,0,101.00,,,,,,,
Wed Mar 01 2017 08:30:00 GMT+0100 (CET),80.33,4.6284,22.86378,0.3456666667,8948000,23.9666666667,23.3666666667,2.2333333333,,0.5,0.0453333333,8.7666666667,40,0,23.7333333333,23.9333333333,22.3038113192,22.3323585409,22.1718936736,22.7981119615,20.9784932681,21.456075158,21.9692936678,21.7859562886,6974000,0,241.00,,,,,,
Wed Mar 01 2017 08:45:00 GMT+0100 (CET),28.56,4.88775,22.92039,349,8948000,23.6,23.3666666667,1.6333333333,,1.0666666667,0.0516666667,9.5,39.0333333333,0,23.8,24,22.3237478465,22.3307004988,22.1300237781,22.7281738293,20.9940969644,21.4594228946,22.0153262733,21.8250406355,6974000,0,85.67,,,,,,
Wed Mar 01 2017 09:00:00 GMT+0100 (CET),773.33,5.0274,22.90041,0.3366666667,8948000,29.3333333333,23.3666666667,1.3,,1.5333333333,0.0473333333,10,40.1,0.6263333333,30.0333333333,23.3333333333,22.3224083768,22.3399652284,22.1903787943,22.7469822064,20.9631699492,21.4049077792,21.9685556234,21.7856342318,6974333.33333333,4872.6666666667,2320.00,,,,,,
Wed Mar 01 2017 09:15:00 GMT+0100 (CET),785.89,5.1338,22.90374,348,8948666.66666666,30.6333333333,24.8,1,,1.8,0.0023333333,13.7,38.3,607,31.7,25.5666666667,22.3421606726,22.3507086496,22.1524461349,22.7117332672,20.9675688538,21.4004827068,21.7733272725,21.6999435546,6975000,4232,2357.67,,,,,,
Wed Mar 01 2017 09:30:00 GMT+0100 (CET),339.78,5.2402,22.89375,349,8949000,27.4666666667,24.9666666667,0.9,,1.6666666667,0.0526666667,10.7666666667,40.7666666667,0,31.6,25.9666666667,22.3061628659,22.4506316401,22.142904382,22.5460145069,20.9733853317,21.4463781358,21.768412762,21.6679293716,6975000,0,1019.33,,,,,,
Wed Mar 01 2017 09:45:00 GMT+0100 (CET),47.44,5.250175,22.90041,0.35,8949000,25.1333333333,24.7333333333,0.9,,1.5,0.0023333333,14.4333333333,38.8666666667,0,30.7666666667,25.8333333333,22.3215123192,22.334203729,22.1487556589,22.5425100168,20.9348674751,21.5125896788,21.8651532834,21.8140379466,6975000,0,142.33,,,,,,
Wed Mar 01 2017 10:00:00 GMT+0100 (CET),112.89,5.389825,22.9104,0.35,8949000,24.8666666667,24,0.9666666667,,1.3,1,17,37.2666666667,0,29.8666666667,25.7333333333,22.3323548041,22.3328993885,22.1773652541,22.5464252764,20.7891206169,21.5125089726,21.752641198,21.7543119327,6975000,0,338.67,,,,,,
Wed Mar 01 2017 10:15:00 GMT+0100 (CET),61.78,5.469625,22.94037,0.3486666667,8949000,24.2666666667,23.8,1.3,,0.7666666667,1,19.4,36,11,29.1333333333,25.6666666667,22.3192144654,22.3268244447,22.1164823481,22.6134232798,20.7610353665,21.3911990951,21.7688040546,21.6079520217,6975000,41,185.33,,,,,,
Wed Mar 01 2017 10:30:00 GMT+0100 (CET),96.44,5.56605,22.94037,349,8949000,24.3333333333,23.6333333333,2.6666666667,1.9333333333,0.1086666667,8.5333333333,51.2333333333,0.0103333333,43.5,23.8666666667,22.3032561065,22.3285332556,21.9988955647,22.6295204637,20.7758979679,21.3987214773,21.8481660329,21.6433794272,6975000,225,289.33,,,,,,,
Wed Mar 01 2017 10:45:00 GMT+0100 (CET),63.44,5.8919,22.98033,346,8950000,23.9333333333,23.4666666667,3.2333333333,2.0333333333,0.0453333333,8.1666666667,49.9333333333,5,44.2666666667,23.7666666667,22.3099429633,22.4427442998,22.1916612772,22.7241100813,20.7603108015,21.4451961271,21.7561174014,21.6025177733,6975000,124,190.33,,,,,,,
